Visit Time,Website visited (Chrome),Title
2023-10-30 11:13:15,https://www.google.com/search?q=how+much+time+it+takes+to+update+chrome+history+file+in+windows&oq=how+much+time+it+takes+to+update+chrome+history+file+in+windows+&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCTE5NDQ2ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,how much time it takes to update chrome history file in windows - Google Search
2023-10-30 11:13:16,https://www.google.com/search?q=how+much+time+it+takes+to+update+chrome+history+file+in+windows&oq=how+much+time+it+takes+to+update+chrome+history+file+in+windows+&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCTE5NDQ2ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,how much time it takes to update chrome history file in windows - Google Search
2023-10-30 11:13:38,https://labs.google.com/search/experiments?source=srp&authuser=0,Search Labs
2023-10-30 11:13:38,https://labs.google.com/search/experiments?source=srp&authuser=0,Search Labs
2023-10-30 11:13:42,https://labs.google.com/search/experiment/1?authuser=0&source=srp,SGE generative AI in Search - Search Labs
2023-10-30 11:13:51,https://labs.google.com/search/experiment/1?authuser=0&source=srp,SGE generative AI in Search - Search Labs
2023-10-30 11:13:57,https://www.google.com/search?q=how+to+become+a+chess+grandmaster&ltkn=Ci9VekU3MjM4ZzJnZ3FZS29heXljZjBUeWR3YVFFdUpodlUzZHl6eXRuOUFZQ0FBQQ==&authuser=0&hl=en-IN&source=searchlabs,how to become a chess grandmaster - Google Search
2023-10-30 11:13:58,https://www.google.com/search?q=how+to+become+a+chess+grandmaster&ltkn=Ci9VekU3MjM4ZzJnZ3FZS29heXljZjBUeWR3YVFFdUpodlUzZHl6eXRuOUFZQ0FBQQ==&authuser=0&hl=en-IN&source=searchlabs,how to become a chess grandmaster - Google Search
2023-10-30 11:14:09,https://www.google.com/search?q=how+much+time+it+takes+to+update+chrome+history+file+in+windows&newwindow=1&sca_esv=577789025&authuser=0&hl=en-IN&sxsrf=AM9HkKmk1MJNe8XTCqYZvZJzLwn-81KS7g%3A1698664436471&ei=9I8_ZZKlHOLF4-EP5JujkAE&ved=0ahUKEwiS78-S0p2CAxXi4jgGHeTNCBIQ4dUDCBA&uact=5&oq=how+much+time+it+takes+to+update+chrome+history+file+in+windows&gs_lp=Egxnd3Mtd2l6LXNlcnAiP2hvdyBtdWNoIHRpbWUgaXQgdGFrZXMgdG8gdXBkYXRlIGNocm9tZSBoaXN0b3J5IGZpbGUgaW4gd2luZG93czIEECMYJ0j2AVAAWABwAHgBkAEAmAGpAaABqQGqAQMwLjG4AQPIAQD4AQL4AQHiAwQYACBBiAYB&sclient=gws-wiz-serp,how much time it takes to update chrome history file in windows - Google Search
2023-10-30 11:14:09,https://www.google.com/search?q=how+much+time+it+takes+to+update+chrome+history+file+in+windows&newwindow=1&sca_esv=577789025&authuser=0&hl=en-IN&sxsrf=AM9HkKmk1MJNe8XTCqYZvZJzLwn-81KS7g%3A1698664436471&ei=9I8_ZZKlHOLF4-EP5JujkAE&ved=0ahUKEwiS78-S0p2CAxXi4jgGHeTNCBIQ4dUDCBA&uact=5&oq=how+much+time+it+takes+to+update+chrome+history+file+in+windows&gs_lp=Egxnd3Mtd2l6LXNlcnAiP2hvdyBtdWNoIHRpbWUgaXQgdGFrZXMgdG8gdXBkYXRlIGNocm9tZSBoaXN0b3J5IGZpbGUgaW4gd2luZG93czIEECMYJ0j2AVAAWABwAHgBkAEAmAGpAaABqQGqAQMwLjG4AQPIAQD4AQL4AQHiAwQYACBBiAYB&sclient=gws-wiz-serp,how much time it takes to update chrome history file in windows - Google Search
2023-10-30 11:16:01,https://www.google.com/search?q=how+much+time+it+takes+to+update+chrome+history+file+in+windows&newwindow=1&sca_esv=577789025&authuser=0&hl=en-IN&sxsrf=AM9HkKmk1MJNe8XTCqYZvZJzLwn-81KS7g%3A1698664436471&ei=9I8_ZZKlHOLF4-EP5JujkAE&ved=0ahUKEwiS78-S0p2CAxXi4jgGHeTNCBIQ4dUDCBA&uact=5&oq=how+much+time+it+takes+to+update+chrome+history+file+in+windows&gs_lp=Egxnd3Mtd2l6LXNlcnAiP2hvdyBtdWNoIHRpbWUgaXQgdGFrZXMgdG8gdXBkYXRlIGNocm9tZSBoaXN0b3J5IGZpbGUgaW4gd2luZG93czIEECMYJ0j2AVAAWABwAHgBkAEAmAGpAaABqQGqAQMwLjG4AQPIAQD4AQL4AQHiAwQYACBBiAYB&sclient=gws-wiz-serp,how much time it takes to update chrome history file in windows - Google Search
2023-10-31 07:20:03,https://form.traya.health/questions?cohort=1&location=HomeSlideshow&page=home&utm_medium=vcommission&utm_source=affiliate&utm_campaign=102641_{your-sub-aff-id}&utm_content=genetic-hairfall-rajkumar,Traya Dx Hair Diagnosis
2023-10-31 07:20:03,https://form.traya.health/questions?cohort=1&location=HomeSlideshow&page=home&utm_medium=vcommission&utm_source=affiliate&utm_campaign=102641_{your-sub-aff-id}&utm_content=genetic-hairfall-rajkumar,Traya Dx Hair Diagnosis
2023-10-31 07:20:02,https://form.traya.health/questions?cohort=1&location=HomeSlideshow&page=home&utm_medium=vcommission&utm_source=affiliate&utm_campaign=102641_{your-sub-aff-id}&utm_content=genetic-hairfall-rajkumar,Traya Dx Hair Diagnosis
